Location	Category
hunter s hot spring	Geothermal
iron-rich host spring jinata onsen pool 3	Geothermal
iron-rich hot spring	Geothermal
iron-rich hot spring biofilm	Geothermal
iron-rich hot spring mineral precipitates	Geothermal
mud of hot spring spa	Geothermal
nakabusa hot spring	Geothermal
non-acidic hot spring microbial mat	Geothermal
pink filamentous streamers occurring in the upper outflow channel of octopus spring in yellowstone national park; wyoming	Geothermal
san vicente hot spring	Geothermal
sediments of hot spring	Geothermal
sediments of hot spring lhc4	Geothermal
soil around hot spring	Geothermal
soil from a hot spring canal	Geothermal
soil from sulfur spring	Geothermal
soil immersed in hot spring water	Geothermal
spring water (hunter s hot spring)	Geothermal
terrestrial hot spring	Geothermal
terrestrial neutral geothermal spring	Geothermal
thermal spa water	Geothermal
thermal spring	Geothermal
thermal spring water	Geothermal
thermal springs	Geothermal
thermal sulfide spring	Geothermal
thermal sulfidic spring	Geothermal
thermophilic sediment from neutral hot spring	Geothermal
thermophilic; methanogenic hexadecane-degrading culture m82	Geothermal
thin; slightly pink; microbial mat growing along a thermal water stream	Geothermal
thiodendron  bacterial sulfur mat from mineral sulfide spring	Geothermal
top 2mm of microbial mat from collected 51-61 deg c temperature site in the octopus spring effluent channel; yellowstone national park	Geothermal
ulu slim hot spring	Geothermal
ulu slim hot spring; malaysia	Geothermal
volcanic; geothermal pool	Geothermal
microbial mat from hot spring	Geothermal
cyanobacterial mat of hot spring; russia; kamchatka; uzon caldera	Geothermal
a coastal hot spring	Geothermal
a hot spring canal	Geothermal
algal mat from kah-nee-tah hot spring	Geothermal
brown biofilm from alkaline hot spring	Geothermal
chloroflexi-rich microbial mat from sulfidic hot spring	Geothermal
colonization device net 1 floating at the air-water interface of the frasassi cave system sulfidic spring	Geothermal
colonization device net 2 floating at the air-water interface of the frasassi cave system sulfidic spring	Geothermal
dna amplified from hot spring microbial mat	Geothermal
enrichment culture inoculated with microbal mat from hot spring	Geothermal
enrichment culture inoculated with water and sediment from thermal spring	Geothermal
green biofilm from alkaline hot spring	Geothermal
in situ cellulolytic enrichments in hot spring gbs	Geothermal
intertidal hot spring	Geothermal
kaskadny hot spring; kamchatka; russia	Geothermal
lotus pond; a sulfur-borax hot spring	Geothermal
microbial mat of a hot water spring	Geothermal
microbial mat of garga thermal spring	Geothermal
microbial mats from manikaran hot springs	Geothermal
moderate hot spring	Geothermal
moderate hot spring; amparai district; maha oya; sri lanka; 1973	Geothermal
native outdoor hot spring sediment	Geothermal
section of microbial mat collected from hot spring water	Geothermal
sediment hot spring	Geothermal
sediment of ink pot hot spring	Geothermal
sediments collected from the katase hot spring field	Geothermal
sulfide spring	Geothermal
sulfidic hot spring	Geothermal
sulfur spring	Geothermal
tassajara hot spring	Geothermal
water of a coastal hot spring	Geothermal
water; hot spring	Geothermal
water; hot spring; mammoth sinkhole ii	Geothermal
wather from hot spring	Geothermal
yellowstone national park mushroom and octopus hot springs	Geothermal
blue-green algal mat freshwater thermal spring	Geothermal
sediment from geothermal area	Geothermal
single cell amplified by mda; sediments of warm mineral spring	Geothermal
warm spring water	Geothermal
biofilm; nakabusa hotspring	Geothermal
anoxic sediments from the drainage area of a geothermal spring	Geothermal
deep terrestrial hot aquifer	Geothermal
frying pan springs (thermal spring)	Geothermal
hydrogen sulfide spring	Geothermal
microbial mat community growing on a geothermal spring	Geothermal
microbial mat formed in a wooden bath filled with hot water emerging from a 2775 m-deep well	Geothermal
microbial mat formed under the flow of hot water emerging from a 2775 m deep well	Geothermal
microbial mat found along with parougia; at an active site with methane bubbling in the santa monica mounds in a location called  mound 800 . sample# is 14434.	Geothermal
microbial mat from volcanic crater lake	Geothermal
microbial mats associated with deep thermal groundwater borehole	Geothermal
obsidian pool; yellowstone national park	Geothermal
subsurface hot aquifer water from japanese gold mine	Geothermal
anaerobic methane-oxidizing enrichment culture from terrestrial mud volcano	Geothermal
asphalt lake	Geothermal
asphalt lake (pitch lake; trinidad and tobago)	Geothermal
boiling beach during volcanic eruption	Geothermal
bubbling pool in the central crater-like structure of an active mud volcano	Geothermal
enrichment culture from mud volcano	Geothermal
enrichment culture from terrestrial mud volcano	Geothermal
obsidian pool (op) in the mud volcano region	Geothermal
sediment and water from a salsa lake of a terrestrial mud volcano	Geothermal
sediment from mud volcano	Geothermal
sediment of a terrestrial spring	Geothermal
sediments around fumarole in geothermal field	Geothermal
segment 3 of single filament from gc246 mud volcano site	Geothermal
volcano lake	Geothermal
water and sediment from terrestrial mud volcano	Geothermal
water-sand suspension from geyser strokkur	Geothermal
fly ash dumping site of thermal power plant	Geothermal
bacterial mat of the sulfide spring  shameless bath	Geothermal
bore well of a great artesian basin of australian subsurface naturally heated aquifer	Geothermal
zodletone spring	Geothermal
yellow and white; gypsum sample; dark conditions in mauna loa lava tube	Geothermal
thermal power plant of yantai	Geothermal
subsurface water from deep subsurface thermal aquifer through borehole 5-p	Geothermal
sulfidic fissure spring - flowing	Geothermal
diana-hygieia radioactive thermal spring biofilm	Geothermal
serovodorodny  spring	Geothermal
lava water	Geothermal
as-contaminated aquifer sediment	Geothermal
microbila mat community growing on a geothermal spring	Geothermal
cabeco de vide travertine	Geothermal
voltri massif travertine	Geothermal
yellow; calcite-rich secondary mineral; light conditions in mauna loa lava tube	Geothermal
lavastone	Geothermal
light pink and white; gypsum-rich secondary mineral; light conditions in mauna loa lava tube	Geothermal
siliceous digitate sinter (tik2)	Geothermal
cuenca murcielago travertine	Geothermal
thermophilic sediment from acid hot spring	GHA
acidic geothermal sediment	GHA
acidic hot spring	GHA
acidic hydrothermal system	GHA
acidic sulfur spring	GHA
dragon spring; acid-sulfate-chloride geothermal spring; from yellow elemental sulfur (so) deposition zone and brown; fe-oxyhydroxide zone	GHA
great boiling spring; nv	GHA
center of the feces	Gut
colon	Gut
colon adenocarcinoma surgical section	Gut
colon biopsy	Gut
colon contents	Gut
colon tissue	Gut
colonic adenocarcinoma biopsy	Gut
colonic content	Gut
colonic mucusa	Gut
duck intestine; denmark	Gut
faecal	Gut
faecal of marmot	Gut
faecal sample from a 27 year old healthy female	Gut
faeces	Gut
faeces / diarrhoea	Gut
faeces of antarctic penguins	Gut
faeces of the tibetan antelope	Gut
faeces;qinghai;china	Gut
feaces	Gut
fecal contaminated soil	Gut
fecal incubation	Gut
fecal material	Gut
fecal material [envo : 00002003]	Gut
fecal material [envo:00002003]	Gut
fecal sample	Gut
fecal sample from diarrhoea affected cattle a	Gut
fecal sample from diarrhoea affected cattle b	Gut
fecal sample from zoo	Gut
fecal samples	Gut
fecal samples from 20 animals	Gut
fecal samples from a 12-year-old male koala named zagget	Gut
fecal specimen	Gut
fecal swab	Gut
fecal swab female ferret; 4 months old	Gut
fecal swab male ferret; 1.5 years old	Gut
fecal swab male ferret; 6.3 years old	Gut
feces	Gut
feces (stool)	Gut
feces day 0 after weanning	Gut
feces day 14 after weanning	Gut
feces day 21 after weanning	Gut
feces day 7 after weanning	Gut
feces extracted directly from colon	Gut
feces from baby	Gut
feces from endurance ride fontainebleau	Gut
feces from healthy person	Gut
feces from large intestine	Gut
feces from migratory bird	Gut
feces from phil the wombat	Gut
feces from zagget the koala	Gut
feces of 16-year-old healthy man	Gut
feces of 3-year-old boy with atopic dermatitis	Gut
feces of 43-year-old healthy woman	Gut
feces of a 5-year-old	Gut
feces of a healthy 100-year-old japanese female	Gut
feces of an oriental stork (ciconia boyciana)	Gut
feces of bat	Gut
feces of black soldier fly larvae	Gut
feces of canada goose	Gut
feces of cat named danny from private home	Gut
feces of cat named lilbub from private home	Gut
feces of common marmoset	Gut
feces of healthy child	Gut
feces of naemorhedus caudatus	Gut
feces of six-years-old elephant	Gut
feces of tamarin	Gut
feces of the black soldier fly	Gut
feces of three-weeks old elephant	Gut
feces of tibetan antelope	Gut
feces of vulture	Gut
feces of wild boar	Gut
feces sample of black soldier fly larvae	Gut
feces with plant residues	Gut
feces; hair;blood	Gut
feces; wild japanese wood mouse	Gut
fresh feces	Gut
fresh feces collected from rock from a sea lion colony	Gut
fresh feces of black lemurs housed under semi-natural conditions	Gut
fresh feces of yak	Gut
gastric antrum	Gut
gastric antrum of amerindian resident	Gut
gastric biopsies	Gut
gastric biopsies; stomach mucosa	Gut
gastric fluid	Gut
gastric lavage	Gut
gastric mucosa	Gut
gastric sample	Gut
gastro-intestinal tract of fish	Gut
gastrointesinal	Gut
gastrointestinal mucosa	Gut
gastrointestinal tract	Gut
gastrointestinal tract of biting midge larvae	Gut
gastrointestinal tract of fish	Gut
gastrointestinal tract-fecal material	Gut
gastrointestinal tract; foregut	Gut
gastrointestinal tract; gut	Gut
gut	Gut
gut (ileum)	Gut
gut content	Gut
gut diatraea saccharalis	Gut
gut dissection	Gut
gut from farmed juvenile arctic char	Gut
gut metagenome	Gut
gut microbiota	Gut
gut microflora of a mussel	Gut
gut of a korean oily bitterling	Gut
gut of a kumgang fat minnow	Gut
gut of a single male bombus impatiens at least 24 hours old from a colony purchased from biobest biological systems (leamington; ontario; canada).	Gut
gut of a wood-feeding termite	Gut
gut of abalone	Gut
gut of an abalone	Gut
gut of ant	Gut
gut of batillaria multiformis	Gut
gut of channa argus	Gut
gut of cyclina sinensis	Gut
gut of fresh water shrimp	Gut
gut of freshwater shrimp	Gut
gut of fungus-growing termite	Gut
gut of grasshopper	Gut
gut of hagfish from deep-sea	Gut
gut of larva	Gut
gut of larvae found on gardenia jasminoides fruit	Gut
gut of limpet	Gut
gut of protaetia brevitarsis seulensis larvae	Gut
gut of reticulitermes speratus	Gut
gut of sea cucumber	Gut
gut of tenebrio molitor	Gut
gut of vertebrate mammal	Gut
gut tissue	Gut
hind gut digesta	Gut
hindgut	Gut
hindgut of australian termite	Gut
hindgut of cryptocercus punctulatus	Gut
hindgut of honeybee	Gut
honey bee; gastrointestinal tract	Gut
honeybee gut	Gut
honeybee gut (apis mellifera)	Gut
honeybee; hindgut	Gut
horse dung	Gut
horse faces	Gut
horse feces	Gut
horse manure	Gut
host stool sample	Gut
human fecal sample	Gut
human feces	Gut
human feces metagenome	Gut
human feces sample	Gut
human gut	Gut
human gut metagenome	Gut
human gut stool	Gut
koala scats	Gut
kyphosus sydneyanus hindgut	Gut
lamb; fecal	Gut
large intestine	Gut
large intestine contents	Gut
larva	Gut
larva feces	Gut
maternal feces	Gut
mouse faeces	Gut
mouse feces	Gut
mouse gut metagenome	Gut
mouse intestine 0group	Gut
mouse intestine 1group	Gut
ncbitaxon:7460 | gut of gut of apis mellifera	Gut
p1 gut compartment	Gut
p3 gut compartment	Gut
p4 gut compartment	Gut
p5 gut compartment	Gut
penguin feces	Gut
pig feces	Gut
pig gut metagenome	Gut
pig intestine	Gut
pig intestine; gut of a piglet	Gut
pig manure	Gut
pig; fecal	Gut
pig; intestine	Gut
pig; small intestine	Gut
piglet feces	Gut
plaque	Gut
pool of bioreactors cstr01a; cstr02a; and cstr03a; thermophilic anaerobic digestion of cattle manure in continuous reactors for biogas production (methane)	Gut
